Title, Director, Category, Hearts, Link
Celebrating Alanis – Lighting the Fire: Programme 1,N/A,Celebrating Alanis,22,https://2022.tiffr.com/shows/celebrating-alanis-lighting-the-fire-programme-1
Celebrating Alanis – Lighting the Fire: Programme 2,N/A,Celebrating Alanis,14,https://2022.tiffr.com/shows/celebrating-alanis-lighting-the-fire-programme-2
Celebrating Alanis – Portraits: Programme 1,N/A,Celebrating Alanis,17,https://2022.tiffr.com/shows/celebrating-alanis-portraits-programme-1
Celebrating Alanis – Portraits: Programme 2,N/A,Celebrating Alanis,12,https://2022.tiffr.com/shows/celebrating-alanis-portraits-programme-2
Celebrating Alanis – The Dignity of Children: Programme 1,N/A,Celebrating Alanis,13,https://2022.tiffr.com/shows/celebrating-alanis-the-dignity-of-children-programme-1
Celebrating Alanis – The Dignity of Children: Programme 2,N/A,Celebrating Alanis,17,https://2022.tiffr.com/shows/celebrating-alanis-the-dignity-of-children-programme-2
7 Prisoners,Alexandre Moratto,Contemporary World Cinema,187,https://2022.tiffr.com/shows/7-prisoners
Are You Lonesome Tonight?,Wen Shipei,Contemporary World Cinema,280,https://2022.tiffr.com/shows/are-you-lonesome-tonight
Compartment No. 6,Juho Kuosmanen,Contemporary World Cinema,409,https://2022.tiffr.com/shows/compartment-no-6
Costa Brava| Lebanon,Mounia Akl,Contemporary World Cinema,189,https://2022.tiffr.com/shows/costa-brava-lebanon
The Daughter,Manuel Martín Cuenca,Contemporary World Cinema,175,https://2022.tiffr.com/shows/the-daughter
The Gravedigger's Wife,Khadar Ayderus Ahmed,Contemporary World Cinema,152,https://2022.tiffr.com/shows/the-gravedigger-s-wife
The Hill Where Lionesses Roar,Luàna Bajrami,Contemporary World Cinema,207,https://2022.tiffr.com/shows/the-hill-where-lionesses-roar
Întregalde,Radu Muntean,Contemporary World Cinema,191,https://2022.tiffr.com/shows/intregalde
Jockey,Clint Bentley,Contemporary World Cinema,132,https://2022.tiffr.com/shows/jockey
Kicking Blood,Blaine Thurier,Contemporary World Cinema,247,https://2022.tiffr.com/shows/kicking-blood
Maria Chapdelaine,Sébastien Pilote,Contemporary World Cinema,175,https://2022.tiffr.com/shows/maria-chapdelaine
Medusa,Anita Rocha da Silveira,Contemporary World Cinema,259,https://2022.tiffr.com/shows/medusa
Murina,Antoneta Alamat Kusijanović,Contemporary World Cinema,233,https://2022.tiffr.com/shows/murina
Nobody Has to Know,Bouli Lanners,Contemporary World Cinema,140,https://2022.tiffr.com/shows/nobody-has-to-know
The Odd-Job Men,Neus Ballús,Contemporary World Cinema,176,https://2022.tiffr.com/shows/the-odd-job-men
The Other Tom,Rodrigo Plá| Laura Santullo,Contemporary World Cinema,68,https://2022.tiffr.com/shows/the-other-tom
OUT OF SYNC,Juanjo Giménez,Contemporary World Cinema,189,https://2022.tiffr.com/shows/out-of-sync
Small Body,Laura Samani,Contemporary World Cinema,93,https://2022.tiffr.com/shows/small-body
La Soga 2,Manny Perez,Contemporary World Cinema,51,https://2022.tiffr.com/shows/la-soga-2
