Title, Director, Category, Hearts, Link
Aftersun,Charlotte Wells,Contemporary World Cinema,164,https://2022.tiffr.com/shows/aftersun
El agua,Elena López Riera,Contemporary World Cinema,40,https://2022.tiffr.com/shows/el-agua
Alam,Firas Khoury,Contemporary World Cinema,19,https://2022.tiffr.com/shows/alam
Amanda,Carolina Cavalli,Contemporary World Cinema,26,https://2022.tiffr.com/shows/amanda
Autobiography,Makbul Mubarak,Contemporary World Cinema,24,https://2022.tiffr.com/shows/autobiography
Beyond the Wall,Vahid Jalilvand,Contemporary World Cinema,38,https://2022.tiffr.com/shows/beyond-the-wall
Blind Willow| Sleeping Woman,Pierre Földes,Contemporary World Cinema,43,https://2022.tiffr.com/shows/blind-willow-sleeping-woman
Bones of Crows,Marie Clements,Contemporary World Cinema,24,https://2022.tiffr.com/shows/bones-of-crows
Coyote,Katherine Jerkovic,Contemporary World Cinema,17,https://2022.tiffr.com/shows/coyote
Domingo and the Mist,Ariel Escalante Meza,Contemporary World Cinema,28,https://2022.tiffr.com/shows/domingo-and-the-mist
The End of Sex,Sean Garrity,Contemporary World Cinema,51,https://2022.tiffr.com/shows/the-end-of-sex
EO,Jerzy Skolimowski,Contemporary World Cinema,112,https://2022.tiffr.com/shows/eo
Falcon Lake,Charlotte Le Bon,Contemporary World Cinema,40,https://2022.tiffr.com/shows/falcon-lake
Fixation,Mercedes Bryce Morgan,Contemporary World Cinema,34,https://2022.tiffr.com/shows/fixation
Godland,Hlynur Pálmason,Contemporary World Cinema,79,https://2022.tiffr.com/shows/godland
The Happiest Man in the World,Teona Strugar Mitevska,Contemporary World Cinema,25,https://2022.tiffr.com/shows/the-happiest-man-in-the-world
The Hotel,Wang Xiaoshuai,Contemporary World Cinema,47,https://2022.tiffr.com/shows/the-hotel
La Jauría,Andrés Ramírez Pulido,Contemporary World Cinema,33,https://2022.tiffr.com/shows/la-jauria
Life,Emir Baigazin,Contemporary World Cinema,27,https://2022.tiffr.com/shows/life
Living,Oliver Hermanus,Contemporary World Cinema,81,https://2022.tiffr.com/shows/living
Love and Mathematics,Claudia Sainte-Luce,Contemporary World Cinema,19,https://2022.tiffr.com/shows/love-and-mathematics
Love Life,Kôji Fukada,Contemporary World Cinema,50,https://2022.tiffr.com/shows/love-life
Luxembourg| Luxembourg,Antonio Lukich,Contemporary World Cinema,26,https://2022.tiffr.com/shows/luxembourg-luxembourg
The Maiden,Graham Foy,Contemporary World Cinema,36,https://2022.tiffr.com/shows/the-maiden
Manticore,Carlos Vermut,Contemporary World Cinema,39,https://2022.tiffr.com/shows/manticore
Muru,Tearepa Kahi,Contemporary World Cinema,18,https://2022.tiffr.com/shows/muru
My Sailor| My Love,Klaus Härö,Contemporary World Cinema,14,https://2022.tiffr.com/shows/my-sailor-my-love
Nightalk,Donald Shebib,Contemporary World Cinema,15,https://2022.tiffr.com/shows/nightalk
North of Normal,Carly Stone,Contemporary World Cinema,20,https://2022.tiffr.com/shows/north-of-normal
The Origin of Evil,Sébastien Marnier,Contemporary World Cinema,37,https://2022.tiffr.com/shows/the-origin-of-evil
Plan 75,Chie Hayakawa,Contemporary World Cinema,42,https://2022.tiffr.com/shows/plan-75
Return to Dust,Li Ruijun,Contemporary World Cinema,15,https://2022.tiffr.com/shows/return-to-dust
R.M.N.,Cristian Mungiu,Contemporary World Cinema,66,https://2022.tiffr.com/shows/r-m-n
So Much Tenderness,Lina Rodríguez,Contemporary World Cinema,26,https://2022.tiffr.com/shows/so-much-tenderness
Sparta,Ulrich Seidl,Contemporary World Cinema,24,https://2022.tiffr.com/shows/sparta
Stellar,Darlene Naponse,Contemporary World Cinema,15,https://2022.tiffr.com/shows/stellar
Stonewalling,Huang Ji| Ryuji Otsuka,Contemporary World Cinema,34,https://2022.tiffr.com/shows/stonewalling
The Swearing Jar,Lindsay MacKay,Contemporary World Cinema,25,https://2022.tiffr.com/shows/the-swearing-jar
The Umbrella Men,John Barker,Contemporary World Cinema,18,https://2022.tiffr.com/shows/the-umbrella-men
Under The Fig Trees,Erige Sehiri,Contemporary World Cinema,11,https://2022.tiffr.com/shows/under-the-fig-trees
Valeria Is Getting Married,Michal Vinik,Contemporary World Cinema,14,https://2022.tiffr.com/shows/valeria-is-getting-married
Vicenta B.,Carlos Lechuga,Contemporary World Cinema,8,https://2022.tiffr.com/shows/vicenta-b
Victim,Michal Blasko,Contemporary World Cinema,14,https://2022.tiffr.com/shows/victim
War Sailor,Gunnar Vikene,Contemporary World Cinema,17,https://2022.tiffr.com/shows/war-sailor
We Are Still Here,Beck Cole| Dena Curtis| Tracey Rigney| Danielle MacLean| Tim Worrall| Renae Maihi| Miki Magasiva| Mario Gaoa| Richard Curtis| Chantelle Burgoyne,Contemporary World Cinema,13,https://2022.tiffr.com/shows/we-are-still-here
Wildflower,Matt Smukler,Contemporary World Cinema,50,https://2022.tiffr.com/shows/wildflower
Winter Boy,Christophe Honoré,Contemporary World Cinema,38,https://2022.tiffr.com/shows/winter-boy
The Worst Ones,Romane Gueret| Lise Akoka,Contemporary World Cinema,24,https://2022.tiffr.com/shows/the-worst-ones
Zwigato,Nandita Das,Contemporary World Cinema,17,https://2022.tiffr.com/shows/zwigato
Aristotle and Dante Discover the Secrets of the Universe,Aitch Alberto,Discovery,65,https://2022.tiffr.com/shows/aristotle-and-dante-discover-the-secrets-of-the-universe
Baby Ruby,Bess Wohl,Discovery,53,https://2022.tiffr.com/shows/baby-ruby
Bruiser,Miles Warren,Discovery,19,https://2022.tiffr.com/shows/bruiser
Carmen,Benjamin Millepied,Discovery,78,https://2022.tiffr.com/shows/carmen
Daughter of Rage,Laura Baumeister,Discovery,25,https://2022.tiffr.com/shows/daughter-of-rage
A Gaza Weekend,Basil Khalil,Discovery,44,https://2022.tiffr.com/shows/a-gaza-weekend
I Like Movies,Chandler Levack,Discovery,97,https://2022.tiffr.com/shows/i-like-movies
The Inspection,Elegance Bratton,Discovery,92,https://2022.tiffr.com/shows/the-inspection
A Long Break,Davit Pirtskhalava,Discovery,14,https://2022.tiffr.com/shows/a-long-break
Pussy,Joseph Amenta,Discovery,45,https://2022.tiffr.com/shows/pussy
Return to Seoul,Davy Chou,Discovery,69,https://2022.tiffr.com/shows/return-to-seoul
ROSIE,Gail Maurice,Discovery,28,https://2022.tiffr.com/shows/rosie
Runner,Marian Mathias,Discovery,12,https://2022.tiffr.com/shows/runner
SHIMONI,Angela Wanjiku Wamai,Discovery,14,https://2022.tiffr.com/shows/shimoni
Snow and the Bear,Selcen Ergun,Discovery,8,https://2022.tiffr.com/shows/snow-and-the-bear
Something You Said Last Night,Luis De Filippis,Discovery,21,https://2022.tiffr.com/shows/something-you-said-last-night
