Title, Director, Category, Hearts, Link
143 Sahara Street,Hassen Ferhani,Wavelengths,327,https://2019.tiffr.com/shows/143-sahara-street
1982,Oualid Mouaness,Discovery,571,https://2019.tiffr.com/shows/1982
2008,Blake Williams,Wavelengths,66,https://2019.tiffr.com/shows/2008
2minutes40seconds,Han Ok-hee,Wavelengths,46,https://2019.tiffr.com/shows/2minutes40seconds
37 Seconds,Hikari,Contemporary World Cinema,585,https://2019.tiffr.com/shows/37-seconds
Abominable,Jill Culton,Gala Presentations,540,https://2019.tiffr.com/shows/abominable
About Endlessness,Roy Andersson,Masters,707,https://2019.tiffr.com/shows/about-endlessness
Adam,Maryam Touzani,Contemporary World Cinema,438,https://2019.tiffr.com/shows/adam
The Aeronauts,Tom Harper,Gala Presentations,1152,https://2019.tiffr.com/shows/the-aeronauts
AFRICA,Oren Gerner,Discovery,158,https://2019.tiffr.com/shows/africa
All Cats Are Grey in the Dark,Lasse Linder,Short Cuts,38,https://2019.tiffr.com/shows/all-cats-are-grey-in-the-dark
All Inclusive,Teemu Nikki,Short Cuts,16,https://2019.tiffr.com/shows/all-inclusive
American Son,Kenny Leon,Special Presentations,875,https://2019.tiffr.com/shows/american-son
American Woman,Semi Chellas,Gala Presentations,773,https://2019.tiffr.com/shows/american-woman
Amusement Ride,Tomonari Nishikawa,Wavelengths,46,https://2019.tiffr.com/shows/amusement-ride
And the Birds Rained Down,Louise Archambault,Contemporary World Cinema,502,https://2019.tiffr.com/shows/and-the-birds-rained-down
And then the Bear,Agnès Patron,Short Cuts,16,https://2019.tiffr.com/shows/and-then-the-bear
And We Go Green,Fisher Stevens| Malcolm Venville,TIFF Docs,431,https://2019.tiffr.com/shows/and-we-go-green
Ani,Josephine Stewart-Te Whiu,Short Cuts,18,https://2019.tiffr.com/shows/ani
Anna,Dekel Berenson,Short Cuts,37,https://2019.tiffr.com/shows/anna
Anne at 13|000 ft,Kazik Radwanski,Platform,802,https://2019.tiffr.com/shows/anne-at-13-000-ft
The Antenna,Orçun Behram,Discovery,572,https://2019.tiffr.com/shows/the-antenna
Antigone,Sophie Deraspe,Contemporary World Cinema,678,https://2019.tiffr.com/shows/antigone
Arab Blues,Manele Labidi,Contemporary World Cinema,585,https://2019.tiffr.com/shows/arab-blues
Are You Hungry?,Teemu Niukkanen,Short Cuts,25,https://2019.tiffr.com/shows/are-you-hungry
Atlantics,Mati Diop,Contemporary World Cinema,1123,https://2019.tiffr.com/shows/atlantics
Atlantis,Valentyn Vasyanovych,Contemporary World Cinema,261,https://2019.tiffr.com/shows/atlantis
The Audition,Ina Weisse,Discovery,484,https://2019.tiffr.com/shows/the-audition
August,Armando Capó,Discovery,381,https://2019.tiffr.com/shows/august
Austral Fever,Thomas Woodroffe,Short Cuts,12,https://2019.tiffr.com/shows/austral-fever
The Australian Dream,Daniel Gordon,TIFF Docs,214,https://2019.tiffr.com/shows/the-australian-dream
Austrian Pavilion,Philipp Fleischmann,Wavelengths,16,https://2019.tiffr.com/shows/austrian-pavilion
Bacurau,Kleber Mendonça Filho| Juliano Dornelles,Contemporary World Cinema,687,https://2019.tiffr.com/shows/bacurau
Bad Education,Cory Finley,Special Presentations,2221,https://2019.tiffr.com/shows/bad-education
Balloon,Pema Tseden,Contemporary World Cinema,320,https://2019.tiffr.com/shows/balloon
BARAKAT,Manon Nammour,Short Cuts,20,https://2019.tiffr.com/shows/barakat
The Barefoot Emperor,Jessica Woodworth| Peter Brosens,Contemporary World Cinema,558,https://2019.tiffr.com/shows/the-barefoot-emperor
Bare Trees In The Mist,Rajan Kathet,Short Cuts,5,https://2019.tiffr.com/shows/bare-trees-in-the-mist
Beanpole,Kantemir Balagov,Contemporary World Cinema,624,https://2019.tiffr.com/shows/beanpole
A Beautiful Day in the Neighborhood,Marielle Heller,Gala Presentations,2533,https://2019.tiffr.com/shows/a-beautiful-day-in-the-neighborhood
La Belle Époque,Nicolas Bedos,Special Presentations,837,https://2019.tiffr.com/shows/la-belle-epoque
Beneath the Blue Suburban Skies,Edward Burns,Contemporary World Cinema,498,https://2019.tiffr.com/shows/beneath-the-blue-suburban-skies
Bikram: Yogi| Guru| Predator,Eva Orner,TIFF Docs,359,https://2019.tiffr.com/shows/bikram-yogi-guru-predator
Billy,Zachary Epcar,Wavelengths,32,https://2019.tiffr.com/shows/billy
The Bite,Pedro Neves Marques,Wavelengths,32,https://2019.tiffr.com/shows/the-bite
Blackbird,Roger Michell,Gala Presentations,1412,https://2019.tiffr.com/shows/blackbird
Black Bitch,Rachel Perkins,Primetime,375,https://2019.tiffr.com/shows/black-bitch
Black Conflux,Nicole Dorsey,Discovery,703,https://2019.tiffr.com/shows/black-conflux
Black Sun,Maureen Fazendeiro,Wavelengths,23,https://2019.tiffr.com/shows/black-sun
Blood Quantum,Jeff Barnaby,Midnight Madness,871,https://2019.tiffr.com/shows/blood-quantum
Blow the Man Down,Bridget Savage Cole| Danielle Krudy,Contemporary World Cinema,694,https://2019.tiffr.com/shows/blow-the-man-down
The Body Remembers When the World Broke Open,Elle-Máijá Tailfeathers| Kathleen Hepburn,Contemporary World Cinema,511,https://2019.tiffr.com/shows/the-body-remembers-when-the-world-broke-open
Bombay Rose,Gitanjali Rao,Contemporary World Cinema,321,https://2019.tiffr.com/shows/bombay-rose
Book of Hours,Annie MacDonell,Wavelengths,25,https://2019.tiffr.com/shows/book-of-hours
BREAKFAST AT TIFF: Can’t Skip Filming in Portugal,,Industry Conference,21,https://2019.tiffr.com/shows/breakfast-at-tiff-can-t-skip-filming-in-portugal
BREAKFAST AT TIFF: CaribbeanTales Incubator: The Big Pitch!,,Industry Conference,18,https://2019.tiffr.com/shows/breakfast-at-tiff-caribbeantales-incubator-the-big-pitch
BREAKFAST AT TIFF: Celebrate the Signing of the Ukraine-Canada Co-Production Treaty,,Industry Conference,16,https://2019.tiffr.com/shows/breakfast-at-tiff-celebrate-the-signing-of-the-ukraine-canada-co-production-treaty
BREAKFAST AT TIFF: Created in Moscow: Meet Russian Producers,,Industry Conference,18,https://2019.tiffr.com/shows/breakfast-at-tiff-created-in-moscow-meet-russian-producers
BREAKFAST AT TIFF: Doing Business with Africa,,Industry Conference,23,https://2019.tiffr.com/shows/breakfast-at-tiff-doing-business-with-africa
BREAKFAST AT TIFF: Doing Business with India: Land of Opportunities,,Industry Conference,16,https://2019.tiffr.com/shows/breakfast-at-tiff-doing-business-with-india-land-of-opportunities
BREAKFAST AT TIFF: RDV CANADA: Meet Canadian Directors on the Rise,,Industry Conference,63,https://2019.tiffr.com/shows/breakfast-at-tiff-rdv-canada-meet-canadian-directors-on-the-rise
BREAKFAST AT TIFF: Rencontre de coproduction interprovinciale / Interprovincial Co-production Breakfast,,Industry Conference,24,https://2019.tiffr.com/shows/breakfast-at-tiff-rencontre-de-coproduction-interprovinciale-interprovincial-co-production-breakfast
Briarpatch,Ana Lily Amirpour| Steven Piet,Primetime,340,https://2019.tiffr.com/shows/briarpatch
Bring Me Home,Kim Seung-woo,Discovery,531,https://2019.tiffr.com/shows/bring-me-home
A Bump Along The Way,Shelly Love,Discovery,633,https://2019.tiffr.com/shows/a-bump-along-the-way
The Burnt Orange Heresy,Giuseppe Capotondi,Gala Presentations,1148,https://2019.tiffr.com/shows/the-burnt-orange-heresy
Butterflies,Yona Rozenkier,Short Cuts,15,https://2019.tiffr.com/shows/butterflies
Calm With Horses,Nick Rowland,Discovery,569,https://2019.tiffr.com/shows/calm-with-horses
The Capote Tapes,Ebs Burnough,TIFF Docs,475,https://2019.tiffr.com/shows/the-capote-tapes
Castle in the Ground,Joey Klein,Contemporary World Cinema,532,https://2019.tiffr.com/shows/castle-in-the-ground
The Cave,Feras Fayyad,TIFF Docs,444,https://2019.tiffr.com/shows/the-cave
Certified Mail,Hisham Saqr,Discovery,159,https://2019.tiffr.com/shows/certified-mail
Cézanne,Luke Fowler,Wavelengths,40,https://2019.tiffr.com/shows/cezanne
Chicuarotes,Gael García Bernal,Contemporary World Cinema,668,https://2019.tiffr.com/shows/chicuarotes
Circumplector,Gastón Solnicki,Wavelengths,21,https://2019.tiffr.com/shows/circumplector
Citizen K,Alex Gibney,TIFF Docs,518,https://2019.tiffr.com/shows/citizen-k
City Dream,Weijun Chen,TIFF Docs,181,https://2019.tiffr.com/shows/city-dream
Clemency,Chinonye Chukwu,Gala Presentations,1328,https://2019.tiffr.com/shows/clemency
Clifton Hill,Albert Shin,Special Presentations,1029,https://2019.tiffr.com/shows/clifton-hill
The Climb,Michael Angelo Covino,Contemporary World Cinema,551,https://2019.tiffr.com/shows/the-climb
CLOSING MASTER CLASS Fernando Meirelles,,Industry Conference,59,https://2019.tiffr.com/shows/closing-master-class-fernando-meirelles
CMPA INDIESCREEN AWARDS,,Industry Conference,37,https://2019.tiffr.com/shows/cmpa-indiescreen-awards
Collective,Alexander Nanau,TIFF Docs,182,https://2019.tiffr.com/shows/collective
Color Out of Space,Richard Stanley,Midnight Madness,1563,https://2019.tiffr.com/shows/color-out-of-space
Comets,Tamar Shavgulidze,Discovery,289,https://2019.tiffr.com/shows/comets
Coming Home Again,Wayne Wang,Special Presentations,677,https://2019.tiffr.com/shows/coming-home-again
CONNECTIONS Co-Productions 1,,Industry Conference,36,https://2019.tiffr.com/shows/connections-co-productions-1
CONNECTIONS Co-Productions 2,,Industry Conference,36,https://2019.tiffr.com/shows/connections-co-productions-2
CONNECTIONS Documentary A,,Doc Conference,28,https://2019.tiffr.com/shows/connections-documentary-a
CONNECTIONS Documentary B,,Doc Conference,21,https://2019.tiffr.com/shows/connections-documentary-b
CONNECTIONS Short Cuts,,Doc Conference,30,https://2019.tiffr.com/shows/connections-short-cuts
CONNECTIONS TIFF Tech,,Industry Conference,20,https://2019.tiffr.com/shows/connections-tiff-tech
CONNECTIONS TV,,Industry Conference,58,https://2019.tiffr.com/shows/connections-tv
Coppers,Alan Zweig,TIFF Docs,245,https://2019.tiffr.com/shows/coppers
The Cordillera of Dreams,Patricio Guzmán,TIFF Docs,182,https://2019.tiffr.com/shows/the-cordillera-of-dreams
Corpus Christi,Jan Komasa,Contemporary World Cinema,316,https://2019.tiffr.com/shows/corpus-christi
The County,Grímur Hákonarson,Contemporary World Cinema,406,https://2019.tiffr.com/shows/the-county
Crazy World,IGG Nabwana,Midnight Madness,436,https://2019.tiffr.com/shows/crazy-world
Cunningham,Alla Kovgan,TIFF Docs,302,https://2019.tiffr.com/shows/cunningham
Daddio,Casey Wilson,Short Cuts,48,https://2019.tiffr.com/shows/daddio
Dads,Bryce Dallas Howard,TIFF Docs,595,https://2019.tiffr.com/shows/dads
