Title,Director,Category,Hearts,Link
10 Things I Hate About You,Gil Junger,Festival Street,36,https://2022.tiffr.com/shows/10-things-i-hate-about-you
10 Things I Hate About You,Gil Junger,Festival Street,30,https://2022.tiffr.com/shows/10-things-i-hate-about-you-4f954eb9-4091-423e-beaf-269342a57e41
1899,Baran bo Odar,Primetime,208,https://2022.tiffr.com/shows/1899
752 Is Not A Number,Babak Payami,TIFF Docs,145,https://2022.tiffr.com/shows/752-is-not-a-number
The 99s,,Festival Street,30,https://2022.tiffr.com/shows/the-99s
Aftersun,Charlotte Wells,Contemporary World Cinema,896,https://2022.tiffr.com/shows/aftersun
After Work,"Céline Condorelli, Ben Rivers",Wavelengths,7,https://2022.tiffr.com/shows/after-work
Against Reality,Olivia Peace,Short Cuts,20,https://2022.tiffr.com/shows/against-reality
Agantuk,Satyajit Ray,TIFF Cinematheque,84,https://2022.tiffr.com/shows/agantuk
El agua,Elena López Riera,Contemporary World Cinema,271,https://2022.tiffr.com/shows/el-agua
Airhostess-737,Thanasis Neofotistos,Short Cuts,8,https://2022.tiffr.com/shows/airhostess-737
Alam,Firas Khoury,Contemporary World Cinema,188,https://2022.tiffr.com/shows/alam
À la vie à l'amor,Emilie Mannering,Short Cuts,12,https://2022.tiffr.com/shows/a-la-vie-a-l-amor
"Alice, Darling",Mary Nighy,Gala Presentations,739,https://2022.tiffr.com/shows/alice-darling
Allelujah,Richard Eyre,Special Presentations,409,https://2022.tiffr.com/shows/allelujah
All-inclusive,Duván Duque Vargas,Short Cuts,11,https://2022.tiffr.com/shows/all-inclusive
All Quiet on the Western Front,Edward Berger,Special Presentations,503,https://2022.tiffr.com/shows/all-quiet-on-the-western-front
All the Beauty and the Bloodshed,Laura Poitras,TIFF Docs,489,https://2022.tiffr.com/shows/all-the-beauty-and-the-bloodshed
All Too Well: The Short Film,Taylor Swift,In Conversation With...,98,https://2022.tiffr.com/shows/all-too-well-the-short-film
Amanda,Carolina Cavalli,Contemporary World Cinema,252,https://2022.tiffr.com/shows/amanda
Anastasia,Sarah McCarthy,Short Cuts,2,https://2022.tiffr.com/shows/anastasia
Aristotle and Dante Discover the Secrets of the Universe,Aitch Alberto,Discovery,555,https://2022.tiffr.com/shows/aristotle-and-dante-discover-the-secrets-of-the-universe
Ashkal,Youssef Chebbi,Contemporary World Cinema,176,https://2022.tiffr.com/shows/ashkal
Autobiography,Makbul Mubarak,Contemporary World Cinema,138,https://2022.tiffr.com/shows/autobiography
Baba,Mbithi Masya,Short Cuts,18,https://2022.tiffr.com/shows/baba
BABYLON,,In Conversation With...,19,https://2022.tiffr.com/shows/babylon
Baby Ruby,Bess Wohl,Discovery,418,https://2022.tiffr.com/shows/baby-ruby
backflip,Nikita Diakur,Short Cuts,6,https://2022.tiffr.com/shows/backflip
The Banshees Of Inisherin,Martin McDonagh,Special Presentations,1249,https://2022.tiffr.com/shows/the-banshees-of-inisherin
Beyond the Wall,Vahid Jalilvand,Contemporary World Cinema,219,https://2022.tiffr.com/shows/beyond-the-wall
Bigger on the Inside,Angelo Madsen Minax,Wavelengths,11,https://2022.tiffr.com/shows/bigger-on-the-inside
Biosphere,Mel Eslyn,Special Presentations,325,https://2022.tiffr.com/shows/biosphere
The Blackening,Tim Story,Midnight Madness,504,https://2022.tiffr.com/shows/the-blackening
Black Ice,Hubert Davis,Gala Presentations,345,https://2022.tiffr.com/shows/black-ice
"Blind Willow, Sleeping Woman",Pierre Földes,Contemporary World Cinema,343,https://2022.tiffr.com/shows/blind-willow-sleeping-woman
Blueback,Robert Connolly,Special Presentations,246,https://2022.tiffr.com/shows/blueback
The Blue Caftan,Maryam Touzani,Special Presentations,305,https://2022.tiffr.com/shows/the-blue-caftan
Bones of Crows,Marie Clements,Contemporary World Cinema,315,https://2022.tiffr.com/shows/bones-of-crows
Broker,Hirokazu Kore-eda,Special Presentations,1089,https://2022.tiffr.com/shows/broker
Bros,Nicholas Stoller,Special Presentations,741,https://2022.tiffr.com/shows/bros
Brother,Clement Virgo,Special Presentations,698,https://2022.tiffr.com/shows/brother
Bruiser,Miles Warren,Discovery,224,https://2022.tiffr.com/shows/bruiser
Buffy Sainte-Marie,,Festival Street,65,https://2022.tiffr.com/shows/buffy-sainte-marie
Buffy Sainte-Marie: Carry It On,Madison Thomas,TIFF Docs,134,https://2022.tiffr.com/shows/buffy-sainte-marie-carry-it-on
Butcher's Crossing,Gabe Polsky,Gala Presentations,591,https://2022.tiffr.com/shows/butcher-s-crossing
Camera Kids,Beth Murphy,Industry Conference,2,https://2022.tiffr.com/shows/camera-kids
CANARY,"Pierre-Hugues Dallaire, Benoit Therriault",Short Cuts,14,https://2022.tiffr.com/shows/canary
Carmen,Benjamin Millepied,Discovery,478,https://2022.tiffr.com/shows/carmen
Casa Susanna,Sébastien Lifshitz,TIFF Docs,275,https://2022.tiffr.com/shows/casa-susanna
Catherine Called Birdy,Lena Dunham,Special Presentations,566,https://2022.tiffr.com/shows/catherine-called-birdy
Causeway,Lila Neugebauer,Special Presentations,967,https://2022.tiffr.com/shows/causeway
CHARCOAL,Carolina Markowicz,Platform,267,https://2022.tiffr.com/shows/charcoal
The Chase,Gurjeet Kaur Bassi,Short Cuts,25,https://2022.tiffr.com/shows/the-chase
Chevalier,Stephen Williams,Special Presentations,710,https://2022.tiffr.com/shows/chevalier
Ciné-Guerrillas: Scenes from the Labudovic Reels,Mila Turajlic,TIFF Docs,69,https://2022.tiffr.com/shows/cine-guerrillas-scenes-from-the-labudovic-reels
The Colour of Ink,Brian D. Johnson,TIFF Docs,137,https://2022.tiffr.com/shows/the-colour-of-ink
Concrete Valley,Antoine Bourges,Wavelengths,178,https://2022.tiffr.com/shows/concrete-valley
CONNECTIONS BAFTA: Navigating an International Career,,Industry Conference,61,https://2022.tiffr.com/shows/connections-bafta-navigating-an-international-career
CONNECTIONS Breaking in and Moving Forward,,Industry Conference,161,https://2022.tiffr.com/shows/connections-breaking-in-and-moving-forward
CONNECTIONS How to Access Telefilm Funding,,Industry Conference,134,https://2022.tiffr.com/shows/connections-how-to-access-telefilm-funding
CONNECTIONS Pathways from Shorts to First Features,,Industry Conference,147,https://2022.tiffr.com/shows/connections-pathways-from-shorts-to-first-features
CONNECTIONS The ReFrame ReSource,,Industry Conference,55,https://2022.tiffr.com/shows/connections-the-reframe-resource
CONNECTIONS Working With CBC Films,,Industry Conference,82,https://2022.tiffr.com/shows/connections-working-with-cbc-films
Corsage,Marie Kreutzer,Special Presentations,605,https://2022.tiffr.com/shows/corsage
Coyote,Katherine Jerkovic,Contemporary World Cinema,156,https://2022.tiffr.com/shows/coyote
Dalíland,Mary Harron,Gala Presentations,647,https://2022.tiffr.com/shows/daliland
Daughter of Rage,Laura Baumeister,Discovery,229,https://2022.tiffr.com/shows/daughter-of-rage
Dear Mama,Allen Hughes,Primetime,173,https://2022.tiffr.com/shows/dear-mama
Decision to Leave,Park Chan-wook,Special Presentations,1263,https://2022.tiffr.com/shows/decision-to-leave
De Humani Corporis Fabrica,"Lucien Castaing-Taylor, Verena Paravel",Wavelengths,213,https://2022.tiffr.com/shows/de-humani-corporis-fabrica
Devotion,JD Dillard,Special Presentations,448,https://2022.tiffr.com/shows/devotion
DIALOGUES Clement Virgo's Brother: From Page to Screen,,Industry Conference,100,https://2022.tiffr.com/shows/microsession-spotlight-on-clement-virgo-s-brother-from-the-page-to-the-screen
DIALOGUES Covering Afghanistan for In Her Hands,,Industry Conference,21,https://2022.tiffr.com/shows/dialogues-covering-afghanistan-for-in-her-hands
DIALOGUES Park Chan-wook and Chung Seo-kyung,,Industry Conference,139,https://2022.tiffr.com/shows/dialogues-co-writers
DIALOGUES Platform Directors,,Industry Conference,84,https://2022.tiffr.com/shows/dialogues-platform-directors
DIALOGUES Primetime,,Industry Conference,98,https://2022.tiffr.com/shows/dialogues-primetime
DIALOGUES Production & Development,,Industry Conference,150,https://2022.tiffr.com/shows/dialogues-production-development
Diaspora,Tyler Mckenzie Evans,Short Cuts,30,https://2022.tiffr.com/shows/diaspora
Documentary Now!,"Alex Buono, Rhys Thomas, Micah Gardner",TIFF Docs,241,https://2022.tiffr.com/shows/documentary-now
Domingo and the Mist,Ariel Escalante Meza,Contemporary World Cinema,128,https://2022.tiffr.com/shows/domingo-and-the-mist
Driving Madeleine,Christian Carion,Special Presentations,360,https://2022.tiffr.com/shows/driving-madeleine
Dry Ground Burning,"Joana Pimenta, Adirley Queirós",Wavelengths,182,https://2022.tiffr.com/shows/dry-ground-burning
elijah woods,,Festival Street,18,https://2022.tiffr.com/shows/elijah-woods
Emily,Frances O'Connor,Platform,609,https://2022.tiffr.com/shows/emily
Empire of Light,Sam Mendes,Special Presentations,1233,https://2022.tiffr.com/shows/empire-of-light
The End of Sex,Sean Garrity,Contemporary World Cinema,397,https://2022.tiffr.com/shows/the-end-of-sex
EO,Jerzy Skolimowski,Contemporary World Cinema,543,https://2022.tiffr.com/shows/eo
The Eternal Daughter,Joanna Hogg,Special Presentations,1006,https://2022.tiffr.com/shows/the-eternal-daughter
EVENTIDE,Sharon Lockhart,Wavelengths,8,https://2022.tiffr.com/shows/eventide
Ever Deadly,"Tanya Tagaq, Chelsea McMullan",TIFF Docs,152,https://2022.tiffr.com/shows/ever-deadly
F1ghting Looks Different 2 Me Now,Fox Maxy,Wavelengths,1,https://2022.tiffr.com/shows/f1ghting-looks-different-2-me-now
The Fabelmans,Steven Spielberg,Special Presentations,1309,https://2022.tiffr.com/shows/the-fabelmans
Falcon Lake,Charlotte Le Bon,Contemporary World Cinema,293,https://2022.tiffr.com/shows/falcon-lake
Fata Morgana,Tacita Dean,Wavelengths,6,https://2022.tiffr.com/shows/fata-morgana
Festival Street Kick Off Event,,Festival Street,52,https://2022.tiffr.com/shows/festival-street-kick-off-event
